id;titre;adrs_numvoie;adrs_typevoie;adrs_libvoie;adrs_codepostal;adrs_libcommune;adrg_libvoie;address_processed;adrg_pays;siteweb
W011000001;VENT D'EST;99;RUE;Salvador Dali;34090;Montpellier;99  RUE SALVADOR DALI;99  RUE SALVADOR DALI;FRANCE;
W011000002;UNE NOTE DE PARTAGE;;;;26220;Dieulefit;1995, ROUTE DE SOUSPIERRE;1995, ROUTE DE SOUSPIERRE;FRANCE;
W011000003;CHANDELAIN;234;RTE;de l'Eglise;1300;Cuzieu;;234 RTE de l'Eglise;FRANCE;
W011000004;LEYMENT-MATERIEL;;RUE;de la Mairie;1150;Leyment;15 Rue de Valllière;15 Rue de Valllière;FRANCE;
W011000005;ASSOCIATION 'TOILES EMOI';3;AV;de Verdun;1500;Ambérieu-en-Bugey;3 avenue de Verdun;3 avenue de Verdun;FRANCE;
W011000006;AMICALE DES MARAIS;;;;1350;Lavours;;  ;FRANCE;
W011000007;COMITE D'ANIMATION DE LEYMENT;;;;1150;Leyment;;  ;FRANCE;
W011000008;ACADEMIE DE TAE KWON-DO MARTIAL ET OLYMPIQUE AMBERIEU;6;RUE;Girod de l'Ain;1500;Ambérieu-en-Bugey;6  RUE DE BOISSET;6  RUE DE BOISSET;FRANCE;
W011000009;BRAMAFAN.ORG;16;RUE;Pasteur;1150;Lagnieu;RUE DE LA LISETTE;RUE DE LA LISETTE;FRANCE;www.bramafan.org
W011000010;LES AIN'FANTINES;426;RUE;des Fontanettes;1110;Hauteville-Lompnes;426 RUE DES FONTANETTES;426 RUE DES FONTANETTES;FRANCE;
W011000011;ENGLISH FOR FUN;28;CHEM1;du Vivier;1150;Saint-Sorlin-en-Bugey;28  CHEMIN DU VIVIER;28  CHEMIN DU VIVIER;FRANCE;
W011000012;HAMEAU A DIRE;36;RUE;Montferme;1230;Saint-Rambert-en-Bugey;36  rue Montferme;36  rue Montferme;FRANCE;
W011000013;BUGEY PLAISIR SPORT;;AV;de l Europe;1230;Saint-Rambert-en-Bugey;; AV de l Europe;FRANCE;
W011000014;ASSOCIATION AGREEE POUR LA PECHE ET LA PROTECTION DU MILIEU AQUATIQUE DE L'ALBARINE (AAPPMA DE L'ALBARINE);;;;1230;Saint-Rambert-en-Bugey;;  ;FRANCE;
W011000015;NOESIS ACP (PENSER, COMPRENDRE, AGIR ENSEMBLE);3;RUE;Pierre et Marie Curie;1500;Ambérieu-en-Bugey;3  RUE PIERRE ET MARIE CURIE;3  RUE PIERRE ET MARIE CURIE;FRANCE;
W011000016;LES PIEDS AUX MURS;;;;1300;Peyrieu;;  ;FRANCE;
W011000017;LA CAB'ANERIE;235;CHEM1;de la Clé des Chants;1300;Belley;235 chemin de la Clé des Chants;235 chemin de la Clé des Chants;FRANCE;
W011000018;ASSOCIATION SEBASTIEN;;;;1130;Échallon;;  ;FRANCE;
W011000019;SOU DES ECOLES LAIQUES;;;;1230;Saint-Rambert-en-Bugey;66 RUE MONTFERME;66 RUE MONTFERME;FRANCE;
W011000020;ORGANISME DE GESTION DE L'ECOLE CATHOLIQUE (O.G. E.C.) SAINTE MARIE D'EN HAUT;9;RUE;du Cuchon;1230;Saint-Rambert-en-Bugey;9 RUE DU CUCHON;9 RUE DU CUCHON;FRANCE;
W011000021;CLASS CHOEUR CLARINETTE BELLEY BUGEY;13;BD;Verdun;1300;Belley;79 RUE SAINT JEAN;79 RUE SAINT JEAN;FRANCE;
W011000022;CLAP CHAZ CANTINE LOISIRS ACCUEIL PERISCOLAIRE DE CHAZEY;;RTE;de Sainte Julie;1150;Chazey-sur-Ain;ROUTE DE SAINTE JULIE;ROUTE DE SAINTE JULIE;FRANCE;
W011000023;LA MAGIE CREATIVE;;;;1150;Leyment;;  ;FRANCE;
W011000024;ASSOCIATION MONTESSORI DU VALROMEY (AMV);104 D;RTE;du Col de Richemont;1260;Champagne-en-Valromey;104 D  ROUTE DU COL DE RICHEMONT;104 D  ROUTE DU COL DE RICHEMONT;FRANCE;
W011000025;SOU DES ECOLES LAIQUES DE CHANAY;32;RTE;de Seyssel;1420;Chanay;;32 RTE de Seyssel;FRANCE;
W011000026;GYMNASTIQUE DE CHATEAU-GAILLARD;63;RUE;des Mûriers;1500;Château-Gaillard;48E RUE DES RAVINELLES;48E RUE DES RAVINELLES;FRANCE;
W011000027;ENTENTE TENNIS D'AMBRONAY-JUJURIEUX-SAINT JEAN LE VIEUX;;;;1500;Ambronay;;  ;FRANCE;
W011000028;ASSOCIATION DES PARENTS D'ELEVES DE L'INSTITUTION LAMARTINE DE BELLEY;41;RUE;Georges Girerd;1300;Belley;;41 RUE Georges Girerd;FRANCE;
W011000029;COMITE DE FLEURISSEMENT DE CHAZEY BONS;;;;1300;Chazey-Bons;;  ;FRANCE;
W011000030;VONGNES FLEURI;;;;1350;Vongnes;;  ;FRANCE;
W011000031;AMICALE DES ACCORDEONISTES D'AMBERIEU;;;;1500;Ambérieu-en-Bugey;;  ;FRANCE;
W011000032;TOUT TERRAIN AMBERIEU;;;;1500;Ambérieu-en-Bugey;;  ;FRANCE;
W011000033;COMITE D'ANIMATION DE RUFFIEU;;;;1260;Ruffieu;;  ;FRANCE;
W011000034;COMITE FNACA MICHAILLE SEYSSEL;;;;1420;Chanay;;  ;FRANCE;
W011000035;TENNIS CLUB DE SEYSSEL-CORBONOD;315;;Grande rue;1420;Gignez;;315  Grande rue;FRANCE;
W011000036;LES AMIS DE LA MER ET DU MODELISME NAVAL;;;;1500;Ambérieu-en-Bugey;;  ;FRANCE;
W011000037;NATTAJ'AIME;;;;1300;Nattages;;  ;FRANCE;
W011000038;AIN SI DANSE;;;;1300;Belley;...;...;FRANCE;
W011000039;AMICALE DU 3E AGE DE CHAMPAGNE-EN-VALROMEY;;;;1260;Champagne-en-Valromey;;  ;FRANCE;
W011000040;SPORT DETENTE CHANAY;;;;1420;Chanay;;  ;FRANCE;
W011000041;BICYCLE FREE SPIRIT (BFS);;;;1500;Ambutrix;ROUTE DE LA CHARTREUSE;ROUTE DE LA CHARTREUSE;FRANCE;
W011000042;ASSOCIATION SPORTIVE DE BLYES;;CHEM1;de Ruvaison;1150;Blyes;chemin de Ruvaison;chemin de Ruvaison;FRANCE;
W011000043;COMITE DES FETES D'INNIMONT;;;;1680;Innimond;;  ;FRANCE;
W011000044;COMPAGNIE THEATRE DU MONT ROYAL;2;PL;Tacon;1110;Hauteville-Lompnes;130 CHEMIN DU BIEL;130 CHEMIN DU BIEL;FRANCE;
W011000045;A.A.P.P.M.A. LA GAULE SEYSSELANE;;;;1420;Seyssel;;  ;FRANCE;
W011000046;SOU DES ECOLES LAIQUES DE SEYSSEL;;;;1420;Seyssel;;  ;FRANCE;
W011000047;CLUB DES RETRAITES;;;;1230;Torcieu;;  ;FRANCE;
W011000048;BUGEY SUD ACTIF;35;RUE;du Château;1300;Brégnier-Cordon;...;...;FRANCE;
W011000049;CLUB DES RANDONNEURS PEDESTRES DE BELLEY;37;RUE;Sainte Marie;1300;Belley;142 ALLéE DE LA SOURCE;142 ALLéE DE LA SOURCE;FRANCE;
W011000050;EN GRANGEONS LA MUSIQUE;;PL;de la Mairie;1470;Serrières-de-Briord;; PL de la Mairie;FRANCE;
W011000051;TRAVERSE PRODUCTION;161;RUE;de Vareilles;1500;Ambérieu-en-Bugey;37 Avenue de Savoie;37 Avenue de Savoie;FRANCE;
W011000052;PRESERVONS AMBRONAY;;;;1500;Ambronay;;  ;FRANCE;
W011000053;ASSOCIATION CHEIGNIEU EN FETE;;;;1510;Cheignieu-la-Balme;;  ;FRANCE;
W011000054;ASSOCIATION VILLEBOIS PIERRE ET CHATEAU;;CHEM1;du Château;1150;Villebois;1075 RUE DES DEUX FONTAINES;1075 RUE DES DEUX FONTAINES;FRANCE;
W011000055;ASSOCIATION TUTELAIRE DES PAYS DE L'AIN;214;RTE;de Parves     Coron;1300;Belley;214  ROUTE DE PARVES     CORON;214  ROUTE DE PARVES     CORON;FRANCE;
W011000056;ASSOCIATION DEPARTEMENTALE AGREEE DE PECHEURS AMATEURS AUX ENGINS ET AUX FILETS - LA PETITE PECHE DE L'AIN;139;RUE;Espace Rhône;1300;Brégnier-Cordon;LES BESSONS;LES BESSONS;FRANCE;
W011000057;JET PROMO;314;ALL;sous le Colombier;1150;Lagnieu;314  allée sous le Colombier;314  allée sous le Colombier;FRANCE;
W011000058;ASSOCIATION AGREE POUR LA PECHE ET LA PROTECTION DU MILIEU AQUATIQUE : A.A.P.P.M.A DU HAUT-FURANS;;;;1510;Rossillon;;  ;FRANCE;
W011000059;ASSOCIATION AGREEE POUR LA PECHE ET LA PROTECTION DU MILIEU AQUATIQUE LES PROPRIETAIRES RIVERAINS DU FURANS A CHAZEY-BONS (A.A.P.P.M.A. LES PROPRIETAIRES RIVERAINS DU FURANS);;;;1300;Chazey-Bons;;  ;FRANCE;
W011000060;ARC CLUB BUGISTE;;;Le Bourg;1300;Saint-Champ;LE BOURG;LE BOURG;FRANCE;
W011000061;AAPPMA LES PECHEURS A LA LIGNE DE LAGNIEU - SAULT-BRENAZ ASSOCIATION AGREEE POUR LA PECHE ET LA PROTECTION DU MILIEU AQUATIQUE LES PECHEURS A LA LIGNE DE LAGNIEU - SAULT-BRENAZ;;;;1150;Lagnieu;;  ;FRANCE;
W011000062;ASSOCIATION AGREEE POUR LA PECHE ET LA PROTECTION DU MILIEU AQUATIQUE LA GAULE DE TORCIEU (A.A.P.P.M.A. LA GAULE DE TORCIEU);;;;1230;Torcieu;;  ;FRANCE;
W011000063;COMITE D'ANIMATION DE TORCIEU;;;Mairie;1230;Torcieu;Mairie;Mairie;FRANCE;
W011000064;SECTEUR BOULISTE DE LA PLAINE DE L'AIN;;;;1500;Ambérieu-en-Bugey;;  ;FRANCE;
W011000065;CLUB D'ACTIVITES SUBAQUATIQUES D'AMBERIEU EN BUGEY (C.A.S.A.);60;AV;du Général Sarrail;1500;Ambérieu-en-Bugey;60 AVENUE DU GÉNÉRAL SARRAIL;60 AVENUE DU GÉNÉRAL SARRAIL;FRANCE;
W011000066;CONSEIL DES PARENTS D ELEVES FCPE DU COLLEGE DE LEYMENT;;;;1150;Leyment;;  ;FRANCE;
W011000067;VELO CLUB DE LAGNIEU;809;RUE;Principale Vaux Fevroux;1150;Vaux-en-Bugey;;809 RUE Principale Vaux Fevroux;FRANCE;
W011000068;LES ROUTARDS DES SAPINS;;;;1110;Cormaranche-en-Bugey;;  ;FRANCE;
W011000069;TENNIS CLUB CULOZ;;;;1350;Culoz;;  ;FRANCE;
W011000070;COMITE DES OEUVRES SOCIALES DU PERSONNEL DE LA VILLE D'HAUTEVILLE-LOMPNES;;;Mairie;1110;Hauteville-Lompnes;Mairie;Mairie;FRANCE;
W011000071;LES RANDONNEURS DU BUIZIN;;;Mairie;1150;Vaux-en-Bugey;MAIRIE;MAIRIE;FRANCE;
W011000072;JUMELAGE LOYETTES/LOYERS;;;;1360;Loyettes;;  ;FRANCE;
W011000073;L'HAUTEVILLOISE PETANQUE;;;;1110;Hauteville-Lompnes;;  ;FRANCE;
W011000074;ASSOCIATION DES POMPIERS RETRAITES DU CANTON D'AMBERIEU EN BUGEY;;;;1500;Saint-Denis-en-Bugey;;  ;FRANCE;
W011000075;HANDICAPS ET INNOVATIONS SOCIALES (H.I.S.);26;RUE;de la Schappe;1230;Saint-Rambert-en-Bugey;26 rue de la Schappe;26 rue de la Schappe;FRANCE;
W011000076;MAISON DES LYCEENS DU LYCEE DE LA PLAINE DE L'AIN (MDL);;AV;Léon Blum;1500;Ambérieu-en-Bugey;avenue Léon Blum;avenue Léon Blum;FRANCE;
W011000077;ADR SAINT-VULBAS  ACCOMPAGNEMENT DES REFUGIES DE SAINT-VULBAS;258;CHEM1;des Grandes Vignes;1150;Saint-Vulbas;258 CHEMIN DES GRANDES VIGNES;258 CHEMIN DES GRANDES VIGNES;FRANCE;
W011000078;SOU DES ECOLES LAIQUES DE BELLEY;;;;1300;Belley;;  ;FRANCE;
