local_id;name;country;state;city;zip;street;url;industry
W011000001;VENT D'EST;FRANCE;;Montpellier;34090;99  RUE SALVADOR DALI;;
W011000002;UNE NOTE DE PARTAGE;FRANCE;;Dieulefit;26220;1995, ROUTE DE SOUSPIERRE;;
W011000003;CHANDELAIN;FRANCE;;Cuzieu;1300;234 RTE de l'Eglise;;
W011000004;LEYMENT-MATERIEL;FRANCE;;Leyment;1150;15 Rue de Valllière;;
W011000005;ASSOCIATION 'TOILES EMOI';FRANCE;;Ambérieu-en-Bugey;1500;3 avenue de Verdun;;
W011000006;AMICALE DES MARAIS;FRANCE;;Lavours;1350;  ;;
W011000007;COMITE D'ANIMATION DE LEYMENT;FRANCE;;Leyment;1150;  ;;
W011000008;ACADEMIE DE TAE KWON-DO MARTIAL ET OLYMPIQUE AMBERIEU;FRANCE;;Ambérieu-en-Bugey;1500;6  RUE DE BOISSET;;
W011000009;BRAMAFAN.ORG;FRANCE;;Lagnieu;1150;RUE DE LA LISETTE;www.bramafan.org;
W011000010;LES AIN'FANTINES;FRANCE;;Hauteville-Lompnes;1110;426 RUE DES FONTANETTES;;
W011000011;ENGLISH FOR FUN;FRANCE;;Saint-Sorlin-en-Bugey;1150;28  CHEMIN DU VIVIER;;
W011000012;HAMEAU A DIRE;FRANCE;;Saint-Rambert-en-Bugey;1230;36  rue Montferme;;
W011000013;BUGEY PLAISIR SPORT;FRANCE;;Saint-Rambert-en-Bugey;1230; AV de l Europe;;
W011000014;ASSOCIATION AGREEE POUR LA PECHE ET LA PROTECTION DU MILIEU AQUATIQUE DE L'ALBARINE (AAPPMA DE L'ALBARINE);FRANCE;;Saint-Rambert-en-Bugey;1230;  ;;
W011000015;NOESIS ACP (PENSER, COMPRENDRE, AGIR ENSEMBLE);FRANCE;;Ambérieu-en-Bugey;1500;3  RUE PIERRE ET MARIE CURIE;;
W011000016;LES PIEDS AUX MURS;FRANCE;;Peyrieu;1300;  ;;
W011000017;LA CAB'ANERIE;FRANCE;;Belley;1300;235 chemin de la Clé des Chants;;
W011000018;ASSOCIATION SEBASTIEN;FRANCE;;Échallon;1130;  ;;
W011000019;SOU DES ECOLES LAIQUES;FRANCE;;Saint-Rambert-en-Bugey;1230;66 RUE MONTFERME;;
